"Subject","Visualization","StartCond","Threshold","Spread","ConfidenceFitness","CompletionTime"
"50047ece2035b019b23e28ce66ab6b38","hf","hf",1.9818,1.2586,0.0025,710888
"278fe66959e223c56cb2d976c0b5f2a3","hf","hf",2.7822,3.122,0.15911,275441
"89d75e98063b1dc102052ce92f523add","hf","hf",3.2804,1.8324,0.01171,283595
"8242f479530beae16763066fdffb3038","hf","hf",2.7438,1.5368,0.0024998,207639
"4395925f7ed60e4e3bdb5485694365c3","h","h",1.4726,2.6694,6.2813e-06,404341
"0cb30643a122bd5edb886e8a89411dec","h","h",2.1528,1.5198,0.011138,286538
"98aa9006f15038dae9eabe870663aaa9","h","h",2.1005,2.544,0.62057,416119
"1d3d0b82855c3f964cf33155079c02b2","h","h",3.3377,2.8784,0.0058729,355810
"88b65323a8cfa47641ff0871be54b2a4","h","h",1.9594,0.58366,0.92176,524613
"b3842efc2372beff7078cb529cdee606","h","h",2.9141,1.6325,0.50521,489476
"0ce7a0ad443a1d1c0769185675196e1e","h","h",2.9509,2.8307,0.056151,931938
"954d2c5c370d9bd4dc97ac8f2ccd4d74","h","h",2.9867,2.9084,0.20184,286945
"d08e803824095ae7b8ee0202eca48d2d","h","h",2.9914,1.5418,0.72245,952774
"476d94bf65b0ef556769ce905b75b1d8","c","c",2.7158,1.0134,0.39023,342679
"a45e2fe075b3f98e44f5ea419a54d8ba","c","c",3.1594,2.9228,0.54961,411181
"86fad4fbf206a6c617cb21d32d97f61e","c","c",2.9989,2.2956,6.25e-08,735408
"afc5aab0c26379c2d0690a321e1928c5","c","c",5.4125,1.1025,0.00087315,628130
"218c8a40e8c364b04e8ff4e92a60dbbb","c","c",15,30.6053,0.94757,250228
"84b63d88be39a04a0dc9ecddf5151e2f","c","c",2.4145,2.3374,0.0095142,247538
"523753d15b6d16b41f4523e76b2a8f8e","c","c",1.893,1.7923,0.56219,360548
"4503bbfe46f985679d18436fde36bd89","c","c",2.0977,1.574,1.2628e-08,280698
"a89d93fead7b71c6de808af30da7a421","c","c",6.9318,7.2535,0.001844,890328
"9973f7c55bac5b31399ed19ac3a4f560","hf","hf",2.8684,18.3184,0.98778,973503
"4aaffa029afe09a4ad12d27dac64a55a","hf","hf",6.2892,4.704,0.021543,394277
"f145570ce5143f94c246a887e350e6fe","hf","hf",2.8912,1.7674,1.25e-05,916325
"33e5a7afa5b8e42d682e156087eca0ab","hf","hf",3.0057,1.5566,1.2476e-05,226416
"c2836470d7ca2701cf11cf62422e4967","hf","hf",2.9318,1.8295,0.015616,449748
"6c08ba3deec2eb8d1352268acf774576","hf","hf",3.9579,2.3027,0.56219,382133
"8b3ad7cb629be6bd8ff9d20118046196","hf","hf",1.063,2.9426,0.0083804,485906
"448fd7d0cd089e3f9195ebd3f9c39f5a","hf","hf",0.95209,3.7228,1.25e-05,389989
"920f28d3a8d8d2f9d2cff7655f659b1f","h","h",2.2859,1.143,0.52216,674120
"a55fc4dbdfcb5b73b10d697456960c54","h","h",2.6482,2.5804,0.58333,764304
"b700b5283ff7ed7d4fc27e36a3926565","h","h",1.7029,2.6349,0.0092022,390599
"8767c7a48562c81051496e968c0f6323","h","h",2.379,1.2556,1.25e-05,277816
"97137d3a047cf69567fb2602a8c20ac3","h","h",3.9487,2.7817,0.070492,438275
"88cab3a90b56597d3fb111305a54ee0b","h","h",2.9748,1.475,7.985e-07,277237
"3b06341a665eebcc6e7843b153cdc0f5","h","h",2.3134,1.7463,0.87371,366527
"fd4674168f5b35726131f902e1809343","h","h",2.4627,1.7358,6.6393e-06,371554
"2af2559b7a362d22e15f02ac850c51be","h","h",3.1661,0.70945,0.74899,297723
"d928d6c9a02367ac6870828b3dcb1d40","c","c",3.2544,2.8518,0.99011,270605
"960631c91b489bef4b0a87708a28c57a","c","c",3.1714,1.8641,0.0021891,313814
"da141fe356161e2104206d8e36d6663a","c","c",3.0071,0.56895,0.66767,453957
"b71fd906f32f0c27f196450c1f4fe900","c","c",3.1387,1.993,1.2502e-05,366185
"407fce4f01154559396b98497206f743","c","c",3.0107,2.0117,0.47917,515412
"3ed018f966a2183e309bc8587bbe18f8","c","c",1.0184,3.8287,0.0012563,752904
"e594958ff53e3e9beed2424350593ba0","c","c",2.5919,1.7795,0.48191,327360
"04e9af7e44b1d71c5ed12f085472b56c","c","c",4.1181,5.6044,0.0046479,611247
"8eca1b31f40e3bbce9ac597b2764843c","c","c",2.9896,0.56127,0.6607,526655
"1bc093c744ce7c0409341c8f9706dcf9","hf","hf",3.7137,0.22489,0.0025,407483
"dc133136b0821d21b06fadd562d4a485","hf","hf",3.1895,2.4956,0.48828,341426
"afdede6e92081d272e7ab9c0995eeede","hf","hf",1.8636,3.1102,0.99012,699432
"5e0f9593449b9bd0d7d90f17ef58f707","hf","hf",1.809,1.9231,0.0018781,1101412
"a6b8593758afd30892bc2b368d5eea73","hf","hf",1.6367,6.6172,0.49967,295091
"e311926c00075fa6f50f08007fd00fef","hf","hf",15,19.696,0.0070111,338246
"6672dca1f53733a7c4419918e37ad6d4","hf","hf",3.39,0.096259,0.98152,1579990
"ae1424cdce61515a1f0f9d13cc627745","hf","hf",2.8408,3.0263,1.2306e-05,1036106
"c7fb13ccb6e19bc96a2ece39ff797037","h","h",2.608,1.8534,0.013679,555475
"c2420cf5038895906445ec9500ea4b5a","h","h",1.6969,3.7016,0.0088282,525415
"b71c1033a6edf052bead4f831b4e83c9","h","h",2.7017,1.8013,0.017922,739431
"7508bdcfb36bfae55f593e42056649fb","h","h",2.338,0.96183,0.037757,454231
"4c220e287216a2caa8016945b120d1fc","h","h",3.1875,1.127,0.50786,247559
"976fe67acaad6ab1b46f012a0829aee6","h","h",1.9056,1.6791,0.0024994,623579
"448682f4312c489b95db64bca7b73fef","h","h",2.9535,2.2709,0.0064503,270392
"ba65725a456b899c803c183eb04250d5","h","h",3.7805,4.7311,0.50456,293642
"eb45ba651a3462b4ae70038506083ecd","h","h",2.5357,1.5042,0.74747,528600
"36c88d22d0423ddfc8344b78d9b1c11d","c","c",3.1961,1.5406,0.0068272,354513
"2b44ef7d05e16e00689da7b001c6bb21","c","c",15,10.4353,0.52474,408600
"0db28a7e18a9ba04d6e3c45e273270d9","c","c",2.3387,1.4162,1.25e-05,252930
"a6ea065e27e198fd1df8cae5b84d09a1","c","c",2.3942,1.9178,0.0059992,345942
"89c88aa019f4d6e031c41098d8585dd8","c","c",0.67414,3.8195,0.6984,440317
"8bbec18c8dc1a165532ca5a552d3bc31","c","c",3.3116,2.5475,0.015811,287062
"8e50e92044a7cd0b630e01941faf089e","c","c",3.2659,1.5365,0.0019868,311597
"22f5f718bbe2b9499fca8c9e5b3a7a44","c","c",2.6479,2.1633,4.7188e-06,396042
"09764afb136adce1a1f2b66496524560","hf","hf",2.1872,3.8302,0.00015151,499771
"0a3f0fbd73d027ef408e2e04be70ba09","hf","hf",1.8949,3.0404,7.8707e-06,435136
"61068618489188a1cbc32999895b41b9","hf","hf",3.4853,2.032,0.5,614015
"5f5bb0b77d805b273ac9d702c4b95a4a","hf","hf",4.1806,2.0495,0.0079113,401434
"5aaa42ad2952f136449fcbde86d9f9a4","hf","hf",3.2125,1.8837,0.0079814,345474
"ebca8708f9acb7515498f71e336a6c80","hf","hf",2.3186,3.7702,7.0547e-06,234762
"5e3d59179533d9d9e9c3c6702dd8a4df","hf","hf",3.24,1.2141,0.055809,238408
"5757f829c1ac35868cd614e76af0d320","hf","hf",2.086,4.0848,0.0025,484572
